INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (0, 205, 1, '2024-02-13', 'recebido', 1710);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (9, 411, 1, '2024-01-05', 'pagamento pendente', 1692);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (9, 425, 1, '2024-01-05', 'pagamento pendente', 1692);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (9, 507, 1, '2024-01-05', 'pagamento pendente', 1692);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (10, 239, 1, '2024-04-20', 'pagamento pendente', 878);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (10, 297, 1, '2024-04-20', 'pagamento pendente', 878);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (10, 78, 1, '2024-04-20', 'pagamento pendente', 878);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (10, 186, 1, '2024-04-20', 'pagamento pendente', 878);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (11, 470, 1, '2024-05-11', 'recebido', 609);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (12, 511, 1, '2024-07-18', 'recebido', 995);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (12, 76, 3, '2024-07-18', 'recebido', 995);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (13, 367, 1, '2024-05-09', 'pago', 871);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (13, 432, 1, '2024-05-09', 'pago', 871);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (13, 32, 1, '2024-05-09', 'pago', 871);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (14, 57, 1, '2024-08-17', 'item enviado', 1087);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (14, 516, 1, '2024-08-17', 'item enviado', 1087);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (15, 110, 3, '2024-08-13', 'item enviado', 1678);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (16, 217, 1, '2024-02-15', 'pago', 1549);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (17, 292, 1, '2024-07-08', 'item enviado', 424);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (18, 329, 1, '2024-03-24', 'pago', 1734);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (18, 385, 2, '2024-03-24', 'pago', 1734);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (18, 155, 1, '2024-03-24', 'pago', 1734);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (19, 449, 2, '2024-04-09', 'pagamento pendente', 668);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (20, 263, 1, '2024-04-23', 'item enviado', 1180);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (21, 319, 1, '2024-08-07', 'pagamento pendente', 1259);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (21, 383, 3, '2024-08-07', 'pagamento pendente', 1259);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (22, 382, 3, '2024-04-08', 'item enviado', 1802);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (23, 493, 1, '2024-07-04', 'pagamento pendente', 1610);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (24, 132, 3, '2024-02-07', 'item enviado', 198);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (25, 41, 1, '2024-03-13', 'pago', 270);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (25, 182, 1, '2024-03-13', 'pago', 270);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (25, 237, 2, '2024-03-13', 'pago', 270);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (26, 206, 3, '2024-05-10', 'pago', 610);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (27, 482, 2, '2024-03-29', 'item enviado', 1027);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (27, 250, 1, '2024-03-29', 'item enviado', 1027);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (27, 158, 2, '2024-03-29', 'item enviado', 1027);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (28, 47, 1, '2024-08-20', 'item enviado', 202);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (28, 107, 1, '2024-08-20', 'item enviado', 202);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (28, 480, 1, '2024-08-20', 'item enviado', 202);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (29, 98, 1, '2024-02-01', 'recebido', 1138);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (29, 223, 2, '2024-02-01', 'recebido', 1138);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (29, 508, 1, '2024-02-01', 'recebido', 1138);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (29, 240, 1, '2024-02-01', 'recebido', 1138);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (29, 499, 1, '2024-02-01', 'recebido', 1138);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (30, 169, 3, '2024-08-06', 'item enviado', 896);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (31, 140, 2, '2024-07-11', 'item enviado', 1439);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (32, 282, 1, '2024-04-09', 'pagamento pendente', 1908);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (32, 110, 1, '2024-04-09', 'pagamento pendente', 1908);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (32, 203, 1, '2024-04-09', 'pagamento pendente', 1908);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (32, 168, 1, '2024-04-09', 'pagamento pendente', 1908);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (33, 96, 3, '2024-04-10', 'pagamento pendente', 1410);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (33, 513, 1, '2024-04-10', 'pagamento pendente', 1410);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (34, 99, 1, '2024-04-26', 'pagamento pendente', 613);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (34, 163, 2, '2024-04-26', 'pagamento pendente', 613);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (35, 452, 1, '2024-06-13', 'item enviado', 1019);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (35, 210, 1, '2024-06-13', 'item enviado', 1019);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (35, 501, 1, '2024-06-13', 'item enviado', 1019);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (35, 68, 1, '2024-06-13', 'item enviado', 1019);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (35, 460, 1, '2024-06-13', 'item enviado', 1019);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (36, 74, 1, '2024-04-26', 'pago', 939);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (36, 414, 3, '2024-04-26', 'pago', 939);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (36, 278, 3, '2024-04-26', 'pago', 939);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (37, 472, 1, '2024-04-20', 'recebido', 1086);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (37, 434, 1, '2024-04-20', 'recebido', 1086);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (37, 26, 1, '2024-04-20', 'recebido', 1086);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (37, 330, 2, '2024-04-20', 'recebido', 1086);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (37, 160, 1, '2024-04-20', 'recebido', 1086);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (38, 117, 1, '2024-01-05', 'item enviado', 1459);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (38, 284, 1, '2024-01-05', 'item enviado', 1459);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (38, 100, 1, '2024-01-05', 'item enviado', 1459);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (38, 469, 2, '2024-01-05', 'item enviado', 1459);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (39, 431, 2, '2024-07-26', 'pagamento pendente', 389);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (40, 528, 1, '2024-01-24', 'recebido', 625);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (40, 37, 1, '2024-01-24', 'recebido', 625);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (41, 386, 1, '2024-01-14', 'item enviado', 1592);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (41, 50, 1, '2024-01-14', 'item enviado', 1592);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (41, 483, 1, '2024-01-14', 'item enviado', 1592);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (42, 249, 1, '2024-08-05', 'pago', 1206);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (43, 138, 1, '2024-08-02', 'pago', 1118);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (43, 531, 1, '2024-08-02', 'pago', 1118);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (43, 249, 1, '2024-08-02', 'pago', 1118);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (43, 58, 2, '2024-08-02', 'pago', 1118);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (43, 66, 2, '2024-08-02', 'pago', 1118);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (44, 514, 2, '2024-05-15', 'recebido', 656);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (44, 350, 1, '2024-05-15', 'recebido', 656);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (45, 484, 2, '2024-04-16', 'pagamento pendente', 1771);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (46, 322, 1, '2024-03-08', 'pagamento pendente', 1390);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (46, 519, 2, '2024-03-08', 'pagamento pendente', 1390);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (47, 419, 1, '2024-05-21', 'pago', 588);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (48, 240, 1, '2024-02-07', 'pago', 538);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (48, 443, 2, '2024-02-07', 'pago', 538);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (48, 255, 1, '2024-02-07', 'pago', 538);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (49, 33, 1, '2024-06-13', 'recebido', 1721);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (49, 325, 1, '2024-06-13', 'recebido', 1721);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (49, 506, 1, '2024-06-13', 'recebido', 1721);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (49, 304, 1, '2024-06-13', 'recebido', 1721);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (50, 213, 1, '2024-08-23', 'recebido', 1768);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (50, 328, 1, '2024-08-23', 'recebido', 1768);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (51, 411, 1, '2024-05-03', 'pagamento pendente', 1322);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (51, 425, 1, '2024-05-03', 'pagamento pendente', 1322);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (51, 161, 2, '2024-05-03', 'pagamento pendente', 1322);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (52, 130, 1, '2024-08-14', 'pagamento pendente', 1445);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (52, 464, 1, '2024-08-14', 'pagamento pendente', 1445);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (52, 29, 1, '2024-08-14', 'pagamento pendente', 1445);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (53, 156, 1, '2024-03-23', 'pagamento pendente', 673);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (53, 16, 1, '2024-03-23', 'pagamento pendente', 673);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (54, 204, 1, '2024-06-19', 'item enviado', 1514);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (54, 425, 1, '2024-06-19', 'item enviado', 1514);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (54, 119, 1, '2024-06-19', 'item enviado', 1514);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (54, 225, 1, '2024-06-19', 'item enviado', 1514);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (55, 112, 2, '2024-04-07', 'item enviado', 1869);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (56, 409, 3, '2024-08-10', 'recebido', 140);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (57, 122, 1, '2024-07-04', 'pago', 1389);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (58, 317, 1, '2024-08-18', 'item enviado', 1811);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (58, 101, 1, '2024-08-18', 'item enviado', 1811);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (58, 145, 1, '2024-08-18', 'item enviado', 1811);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (59, 111, 1, '2024-05-19', 'pagamento pendente', 1024);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (59, 356, 2, '2024-05-19', 'pagamento pendente', 1024);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (60, 60, 3, '2024-06-09', 'pagamento pendente', 513);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (60, 3, 1, '2024-06-09', 'pagamento pendente', 513);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (60, 257, 1, '2024-06-09', 'pagamento pendente', 513);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (60, 365, 1, '2024-06-09', 'pagamento pendente', 513);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (61, 68, 1, '2024-01-10', 'pagamento pendente', 570);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (61, 101, 1, '2024-01-10', 'pagamento pendente', 570);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (62, 85, 1, '2024-07-27', 'pago', 1044);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (63, 163, 1, '2024-05-27', 'pagamento pendente', 1243);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (63, 198, 1, '2024-05-27', 'pagamento pendente', 1243);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (63, 403, 1, '2024-05-27', 'pagamento pendente', 1243);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (63, 404, 3, '2024-05-27', 'pagamento pendente', 1243);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (63, 98, 1, '2024-05-27', 'pagamento pendente', 1243);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (64, 418, 1, '2024-06-09', 'recebido', 1528);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (64, 174, 2, '2024-06-09', 'recebido', 1528);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (64, 214, 1, '2024-06-09', 'recebido', 1528);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (65, 135, 1, '2024-07-11', 'item enviado', 332);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (66, 212, 1, '2024-03-07', 'pagamento pendente', 231);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (67, 65, 2, '2024-08-07', 'pago', 1151);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (68, 458, 2, '2024-02-18', 'pagamento pendente', 1427);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (68, 65, 1, '2024-02-18', 'pagamento pendente', 1427);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (68, 484, 1, '2024-02-18', 'pagamento pendente', 1427);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (69, 97, 1, '2024-01-03', 'item enviado', 64);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (69, 523, 1, '2024-01-03', 'item enviado', 64);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (70, 502, 1, '2024-04-24', 'pago', 494);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (71, 74, 1, '2024-07-26', 'recebido', 840);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (72, 5, 2, '2024-05-06', 'pago', 306);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (72, 417, 1, '2024-05-06', 'pago', 306);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (73, 25, 3, '2024-04-22', 'pago', 1662);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (73, 410, 1, '2024-04-22', 'pago', 1662);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (73, 11, 2, '2024-04-22', 'pago', 1662);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (74, 280, 1, '2024-02-05', 'item enviado', 71);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (74, 147, 3, '2024-02-05', 'item enviado', 71);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (74, 164, 1, '2024-02-05', 'item enviado', 71);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (75, 323, 1, '2024-04-07', 'item enviado', 1303);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (75, 342, 1, '2024-04-07', 'item enviado', 1303);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (75, 104, 1, '2024-04-07', 'item enviado', 1303);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (75, 447, 1, '2024-04-07', 'item enviado', 1303);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (76, 136, 2, '2024-02-20', 'recebido', 1818);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (77, 1, 1, '2024-08-29', 'item enviado', 551);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (78, 84, 1, '2024-08-19', 'pago', 193);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (78, 71, 1, '2024-08-19', 'pago', 193);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (78, 534, 1, '2024-08-19', 'pago', 193);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (79, 263, 1, '2024-05-04', 'recebido', 1462);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (80, 348, 1, '2024-08-03', 'recebido', 312);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (81, 451, 1, '2024-05-27', 'pago', 940);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (81, 5, 1, '2024-05-27', 'pago', 940);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (82, 6, 1, '2024-01-05', 'item enviado', 948);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (83, 123, 1, '2024-08-06', 'recebido', 1692);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (83, 379, 1, '2024-08-06', 'recebido', 1692);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (84, 305, 3, '2024-07-06', 'pago', 1512);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (84, 125, 2, '2024-07-06', 'pago', 1512);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (84, 432, 1, '2024-07-06', 'pago', 1512);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (84, 201, 1, '2024-07-06', 'pago', 1512);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (84, 486, 1, '2024-07-06', 'pago', 1512);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (85, 2, 3, '2024-02-21', 'pagamento pendente', 1262);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (85, 201, 1, '2024-02-21', 'pagamento pendente', 1262);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (86, 342, 3, '2024-07-02', 'item enviado', 682);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (86, 428, 2, '2024-07-02', 'item enviado', 682);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (86, 476, 3, '2024-07-02', 'item enviado', 682);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (87, 424, 1, '2024-04-18', 'pago', 1838);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (88, 271, 3, '2024-03-06', 'pagamento pendente', 141);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (89, 268, 2, '2024-06-28', 'recebido', 1633);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (89, 65, 1, '2024-06-28', 'recebido', 1633);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (90, 173, 1, '2024-07-08', 'pagamento pendente', 665);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (90, 88, 1, '2024-07-08', 'pagamento pendente', 665);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (91, 200, 1, '2024-07-24', 'pagamento pendente', 103);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (91, 368, 1, '2024-07-24', 'pagamento pendente', 103);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (92, 118, 3, '2024-01-01', 'item enviado', 1654);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (92, 410, 1, '2024-01-01', 'item enviado', 1654);
