INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (0, 'anel feito de ouro com diamante de tamanho A', 3541, '279');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (26, 'anel feito de prata com diamante de tamanho A', 3181, '244');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (27, 'anel feito de prata com diamante de tamanho B', 3046, '124');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (28, 'anel feito de prata com diamante de tamanho E', 2821, '331');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (29, 'anel feito de prata com rubi de tamanho A', 2576, '289');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (30, 'anel feito de prata com rubi de tamanho C', 2336, '478');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (31, 'anel feito de prata com rubi de tamanho E', 2216, '347');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (32, 'anel feito de prata com safira de tamanho A', 2081, '110');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (33, 'anel feito de prata com safira de tamanho B', 1946, '306');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (34, 'anel feito de prata com safira de tamanho C', 1841, '298');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (35, 'anel feito de prata com safira de tamanho D', 1766, '342');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (36, 'anel feito de prata com safira de tamanho E', 1721, '312');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (37, 'anel feito de prata com perola de tamanho B', 1561, '238');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (38, 'anel feito de prata com perola de tamanho C', 1456, '355');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (39, 'anel feito de prata com perola de tamanho D', 1381, '391');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (40, 'anel feito de prata com esmeralda de tamanho A', 1421, '409');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (41, 'anel feito de prata com esmeralda de tamanho B', 1286, '277');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (42, 'anel feito de prata com esmeralda de tamanho C', 1181, '186');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (43, 'anel feito de prata com esmeralda de tamanho D', 1106, '352');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (44, 'anel feito de prata com esmeralda de tamanho E', 1061, '145');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (45, 'anel feito de prata sem adorno de tamanho A', 1256, '442');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (46, 'anel feito de prata sem adorno de tamanho C', 1016, '273');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (47, 'anel feito de prata sem adorno de tamanho D', 941, '232');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (48, 'anel feito de prata sem adorno de tamanho E', 896, '406');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (49, 'anel feito de prata banhado a ouro com diamante de tamanho A', 2901, '286');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (50, 'anel feito de prata banhado a ouro com diamante de tamanho B', 2766, '324');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (51, 'anel feito de prata banhado a ouro com diamante de tamanho C', 2661, '130');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (52, 'anel feito de prata banhado a ouro com diamante de tamanho D', 2586, '184');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (53, 'anel feito de prata banhado a ouro com diamante de tamanho E', 2541, '216');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (54, 'anel feito de prata banhado a ouro com rubi de tamanho A', 2296, '359');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (55, 'anel feito de prata banhado a ouro com rubi de tamanho B', 2161, '288');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (56, 'anel feito de prata banhado a ouro com rubi de tamanho C', 2056, '154');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (57, 'anel feito de prata banhado a ouro com rubi de tamanho D', 1981, '479');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (58, 'anel feito de prata banhado a ouro com rubi de tamanho E', 1936, '209');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (59, 'anel feito de prata banhado a ouro com safira de tamanho A', 1801, '282');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (60, 'anel feito de prata banhado a ouro com safira de tamanho B', 1666, '211');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (61, 'anel feito de prata banhado a ouro com safira de tamanho C', 1561, '152');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (62, 'anel feito de prata banhado a ouro com safira de tamanho D', 1486, '285');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (63, 'anel feito de prata banhado a ouro com safira de tamanho E', 1441, '407');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (64, 'anel feito de prata banhado a ouro com perola de tamanho A', 1416, '498');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (65, 'anel feito de prata banhado a ouro com perola de tamanho C', 1176, '356');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (66, 'anel feito de prata banhado a ouro com perola de tamanho E', 1056, '465');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (67, 'anel feito de prata banhado a ouro com esmeralda de tamanho A', 1141, '150');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (68, 'anel feito de prata banhado a ouro com esmeralda de tamanho C', 901, '194');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (69, 'anel feito de prata banhado a ouro com esmeralda de tamanho D', 826, '105');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (70, 'anel feito de prata banhado a ouro sem adorno de tamanho A', 976, '500');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (71, 'anel feito de prata banhado a ouro sem adorno de tamanho C', 736, '354');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (72, 'anel feito de prata banhado a ouro sem adorno de tamanho D', 661, '247');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (73, 'anel feito de aco inox banhado a prata com diamante de tamanho A', 2701, '129');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (74, 'anel feito de aco inox banhado a prata com diamante de tamanho B', 2566, '423');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (75, 'anel feito de aco inox banhado a prata com diamante de tamanho C', 2461, '463');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (76, 'anel feito de aco inox banhado a prata com diamante de tamanho E', 2341, '204');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (77, 'anel feito de aco inox banhado a prata com rubi de tamanho A', 2096, '199');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (78, 'anel feito de aco inox banhado a prata com rubi de tamanho B', 1961, '367');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (79, 'anel feito de aco inox banhado a prata com rubi de tamanho D', 1781, '109');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (80, 'anel feito de aco inox banhado a prata com rubi de tamanho E', 1736, '476');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (81, 'anel feito de aco inox banhado a prata com safira de tamanho A', 1601, '330');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (82, 'anel feito de aco inox banhado a prata com safira de tamanho B', 1466, '325');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (83, 'anel feito de aco inox banhado a prata com safira de tamanho C', 1361, '138');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (84, 'anel feito de aco inox banhado a prata com safira de tamanho D', 1286, '112');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (85, 'anel feito de aco inox banhado a prata com perola de tamanho B', 1081, '421');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (86, 'anel feito de aco inox banhado a prata com perola de tamanho C', 976, '466');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (87, 'anel feito de aco inox banhado a prata com perola de tamanho D', 901, '294');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (88, 'anel feito de aco inox banhado a prata com esmeralda de tamanho A', 941, '233');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (89, 'anel feito de aco inox banhado a prata com esmeralda de tamanho B', 806, '420');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (90, 'anel feito de aco inox banhado a prata sem adorno de tamanho A', 776, '235');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (91, 'anel feito de aco inox banhado a prata sem adorno de tamanho B', 641, '112');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (92, 'anel feito de aco inox banhado a prata sem adorno de tamanho C', 536, '466');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (93, 'anel feito de aco inox banhado a prata sem adorno de tamanho D', 461, '219');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (94, 'anel feito de aco inox banhado a prata sem adorno de tamanho E', 416, '334');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (95, 'anel feito de aco inox com diamante de tamanho D', 2266, '180');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (96, 'anel feito de aco inox com rubi de tamanho A', 1976, '200');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (97, 'anel feito de aco inox com rubi de tamanho B', 1841, '271');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (98, 'anel feito de aco inox com rubi de tamanho C', 1736, '255');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (99, 'anel feito de aco inox com rubi de tamanho D', 1661, '278');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (100, 'anel feito de aco inox com safira de tamanho B', 1346, '320');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (101, 'anel feito de aco inox com safira de tamanho E', 1121, '494');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (102, 'anel feito de aco inox com perola de tamanho A', 1096, '111');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (103, 'anel feito de aco inox com perola de tamanho B', 961, '461');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (104, 'anel feito de aco inox com perola de tamanho C', 856, '158');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (105, 'anel feito de aco inox com perola de tamanho D', 781, '365');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (106, 'anel feito de aco inox com perola de tamanho E', 736, '427');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (107, 'anel feito de aco inox com esmeralda de tamanho A', 821, '439');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (108, 'anel feito de aco inox com esmeralda de tamanho B', 686, '410');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (109, 'anel feito de aco inox com esmeralda de tamanho C', 581, '328');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (110, 'anel feito de aco inox com esmeralda de tamanho D', 506, '357');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (111, 'anel feito de aco inox com esmeralda de tamanho E', 461, '453');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (112, 'anel feito de aco inox sem adorno de tamanho A', 656, '272');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (113, 'anel feito de aco inox sem adorno de tamanho C', 416, '194');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (114, 'anel feito de aco inox sem adorno de tamanho E', 296, '389');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (115, 'colar feito de ouro com diamante de tamanho A', 3488, '230');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (116, 'colar feito de ouro com diamante de tamanho B', 3353, '195');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (117, 'colar feito de ouro com diamante de tamanho C', 3248, '187');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (118, 'colar feito de ouro com diamante de tamanho D', 3173, '380');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (119, 'colar feito de ouro com diamante de tamanho E', 3128, '375');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (120, 'colar feito de ouro com rubi de tamanho A', 2883, '254');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (121, 'colar feito de ouro com rubi de tamanho B', 2748, '148');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (122, 'colar feito de ouro com rubi de tamanho C', 2643, '260');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (123, 'colar feito de ouro com safira de tamanho A', 2388, '490');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (124, 'colar feito de ouro com safira de tamanho B', 2253, '369');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (125, 'colar feito de ouro com safira de tamanho C', 2148, '345');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (126, 'colar feito de ouro com safira de tamanho E', 2028, '437');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (127, 'colar feito de ouro com perola de tamanho A', 2003, '198');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (128, 'colar feito de ouro com perola de tamanho B', 1868, '325');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (129, 'colar feito de ouro com perola de tamanho C', 1763, '200');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (130, 'colar feito de ouro com perola de tamanho D', 1688, '342');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (131, 'colar feito de ouro com perola de tamanho E', 1643, '235');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (132, 'colar feito de ouro com esmeralda de tamanho A', 1728, '292');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (133, 'colar feito de ouro com esmeralda de tamanho B', 1593, '461');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (134, 'colar feito de ouro com esmeralda de tamanho C', 1488, '374');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (135, 'colar feito de ouro com esmeralda de tamanho D', 1413, '233');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (136, 'colar feito de ouro com esmeralda de tamanho E', 1368, '484');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (137, 'colar feito de ouro sem adorno de tamanho B', 1428, '144');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (138, 'colar feito de ouro sem adorno de tamanho C', 1323, '117');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (139, 'colar feito de ouro sem adorno de tamanho E', 1203, '153');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (140, 'colar feito de prata com diamante de tamanho C', 2888, '240');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (141, 'colar feito de prata com rubi de tamanho A', 2523, '164');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (142, 'colar feito de prata com rubi de tamanho B', 2388, '128');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (143, 'colar feito de prata com rubi de tamanho C', 2283, '348');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (144, 'colar feito de prata com rubi de tamanho D', 2208, '110');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (145, 'colar feito de prata com safira de tamanho A', 2028, '393');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (146, 'colar feito de prata com safira de tamanho C', 1788, '158');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (147, 'colar feito de prata com safira de tamanho D', 1713, '304');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (148, 'colar feito de prata com perola de tamanho A', 1643, '243');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (149, 'colar feito de prata com perola de tamanho B', 1508, '156');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (150, 'colar feito de prata com perola de tamanho C', 1403, '300');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (151, 'colar feito de prata com perola de tamanho E', 1283, '145');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (152, 'colar feito de prata com esmeralda de tamanho A', 1368, '134');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (153, 'colar feito de prata com esmeralda de tamanho C', 1128, '431');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (154, 'colar feito de prata com esmeralda de tamanho E', 1008, '438');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (155, 'colar feito de prata sem adorno de tamanho B', 1068, '228');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (156, 'colar feito de prata sem adorno de tamanho E', 843, '206');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (157, 'colar feito de prata banhado a ouro com diamante de tamanho B', 2713, '225');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (158, 'colar feito de prata banhado a ouro com diamante de tamanho C', 2608, '433');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (159, 'colar feito de prata banhado a ouro com diamante de tamanho D', 2533, '361');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (160, 'colar feito de prata banhado a ouro com diamante de tamanho E', 2488, '445');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (161, 'colar feito de prata banhado a ouro com rubi de tamanho B', 2108, '389');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (162, 'colar feito de prata banhado a ouro com rubi de tamanho C', 2003, '156');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (163, 'colar feito de prata banhado a ouro com rubi de tamanho D', 1928, '204');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (164, 'colar feito de prata banhado a ouro com rubi de tamanho E', 1883, '334');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (165, 'colar feito de prata banhado a ouro com safira de tamanho C', 1508, '349');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (166, 'colar feito de prata banhado a ouro com safira de tamanho D', 1433, '450');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (167, 'colar feito de prata banhado a ouro com safira de tamanho E', 1388, '105');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (168, 'colar feito de prata banhado a ouro com perola de tamanho A', 1363, '287');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (169, 'colar feito de prata banhado a ouro com perola de tamanho B', 1228, '150');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (170, 'colar feito de prata banhado a ouro com perola de tamanho C', 1123, '168');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (171, 'colar feito de prata banhado a ouro com perola de tamanho D', 1048, '307');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (172, 'colar feito de prata banhado a ouro com perola de tamanho E', 1003, '307');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (173, 'colar feito de prata banhado a ouro com esmeralda de tamanho A', 1088, '348');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (174, 'colar feito de prata banhado a ouro com esmeralda de tamanho D', 773, '328');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (175, 'colar feito de prata banhado a ouro com esmeralda de tamanho E', 728, '353');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (176, 'colar feito de prata banhado a ouro sem adorno de tamanho A', 923, '436');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (177, 'colar feito de prata banhado a ouro sem adorno de tamanho B', 788, '228');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (178, 'colar feito de prata banhado a ouro sem adorno de tamanho E', 563, '433');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (179, 'colar feito de aco inox banhado a prata com diamante de tamanho A', 2648, '362');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (180, 'colar feito de aco inox banhado a prata com diamante de tamanho B', 2513, '380');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (181, 'colar feito de aco inox banhado a prata com diamante de tamanho D', 2333, '103');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (182, 'colar feito de aco inox banhado a prata com rubi de tamanho A', 2043, '152');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (183, 'colar feito de aco inox banhado a prata com rubi de tamanho B', 1908, '342');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (184, 'colar feito de aco inox banhado a prata com rubi de tamanho C', 1803, '367');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (185, 'colar feito de aco inox banhado a prata com rubi de tamanho D', 1728, '285');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (186, 'colar feito de aco inox banhado a prata com rubi de tamanho E', 1683, '417');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (187, 'colar feito de aco inox banhado a prata com safira de tamanho C', 1308, '322');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (188, 'colar feito de aco inox banhado a prata com safira de tamanho D', 1233, '457');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (189, 'colar feito de aco inox banhado a prata com perola de tamanho A', 1163, '343');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (190, 'colar feito de aco inox banhado a prata com perola de tamanho D', 848, '466');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (191, 'colar feito de aco inox banhado a prata com perola de tamanho E', 803, '363');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (192, 'colar feito de aco inox banhado a prata com esmeralda de tamanho A', 888, '243');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (193, 'colar feito de aco inox banhado a prata com esmeralda de tamanho B', 753, '388');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (194, 'colar feito de aco inox banhado a prata com esmeralda de tamanho C', 648, '452');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (195, 'colar feito de aco inox banhado a prata com esmeralda de tamanho D', 573, '158');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (196, 'colar feito de aco inox banhado a prata com esmeralda de tamanho E', 528, '110');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (197, 'colar feito de aco inox banhado a prata sem adorno de tamanho A', 723, '358');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (198, 'colar feito de aco inox banhado a prata sem adorno de tamanho E', 363, '317');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (199, 'colar feito de aco inox com diamante de tamanho A', 2528, '399');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (200, 'colar feito de aco inox com diamante de tamanho B', 2393, '446');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (201, 'colar feito de aco inox com diamante de tamanho C', 2288, '333');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (202, 'colar feito de aco inox com diamante de tamanho D', 2213, '173');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (203, 'colar feito de aco inox com diamante de tamanho E', 2168, '448');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (204, 'colar feito de aco inox com rubi de tamanho B', 1788, '478');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (205, 'colar feito de aco inox com rubi de tamanho C', 1683, '332');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (206, 'colar feito de aco inox com rubi de tamanho D', 1608, '169');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (207, 'colar feito de aco inox com rubi de tamanho E', 1563, '448');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (208, 'colar feito de aco inox com safira de tamanho A', 1428, '487');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (209, 'colar feito de aco inox com safira de tamanho B', 1293, '198');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (210, 'colar feito de aco inox com safira de tamanho C', 1188, '470');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (211, 'colar feito de aco inox com perola de tamanho A', 1043, '368');
